anatomy_site,abnormality_label,caption
ELBOW,0,X-ray of an elbow with normal anatomy.
ELBOW,0,Radiographic examination of an elbow without abnormalities.
ELBOW,0,Elbow x-ray demonstrating a normal structure.
ELBOW,0,Imaging study of an elbow with no signs of pathology.
ELBOW,0,X-ray of an elbow with a normal bone and joint alignment.
ELBOW,0,Radiograph of an elbow showing no evidence of disease.
ELBOW,0,Anatomical examination of an elbow via x-ray.
ELBOW,0,Normal x-ray image of an elbow joint.
ELBOW,0,Imaging of an elbow with a typical appearance.
ELBOW,0,X-ray of an elbow with a healthy bone and joint.
ELBOW,0,Radiographic assessment of an elbow with no notable issues.
ELBOW,0,Normal radiographic appearance of an elbow.
ELBOW,0,X-ray image of an elbow with no signs of abnormality.
ELBOW,0,Elbow x-ray showing a normal bone structure.
ELBOW,0,Imaging study of an elbow with a healthy appearance.
ELBOW,0,A normal radiograph of the elbow joint.
ELBOW,1,A radiograph of an elbow with an abnormality.
ELBOW,1,An x-ray image showing an abnormality in the elbow.
ELBOW,1,An elbow radiograph with signs of an abnormal condition.
ELBOW,1,A elbow radiograph with an abnormal finding.
ELBOW,1,Imaging of the elbow with abnormal features.
ELBOW,1,An x-ray of the elbow with an abnormal appearance.
ELBOW,1,A radiograph of an elbow with not normal structures.
ELBOW,1,An elbow x-ray with abnormal characteristics.
ELBOW,1,A normal appearing elbow with an abnormality.
ELBOW,1,A radiograph of the elbow with signs of an abnormality.
ELBOW,1,An elbow radiograph showing an abnormal condition.
ELBOW,1,A radiograph of an elbow with an abnormality present.
ELBOW,1,An x-ray image of the elbow with an abnormality.
ELBOW,1,An elbow radiograph with abnormal features visible.
ELBOW,1,A radiograph of an elbow with abnormal structures.
ELBOW,1,An x-ray of the elbow with an abnormal appearance visible.
ELBOW,1,An elbow radiograph with an abnormal condition identified.
ELBOW,1,A radiograph of the elbow with not normal anatomy.
ELBOW,1,An elbow x-ray showing an abnormal feature.
ELBOW,1,An elbow radiograph with an abnormal finding visible.
ELBOW,1,A radiograph of an elbow with an abnormal finding.
ELBOW,1,An x-ray image of an elbow displaying an abnormality.
ELBOW,1,An abnormal radiograph of the elbow joint.
ELBOW,1,A radiograph showing an abnormality in the elbow.
ELBOW,1,Elbow x-ray reveiling an abnormal appearance.
ELBOW,1,An abnormal x-ray image of the elbow.
ELBOW,1,An image of the elbow with an abnormal radiographic appearance.
ELBOW,1,Elbow x-ray with an abnormal appearance.
ELBOW,1,An abnormal elbow radiograph.
ELBOW,1,A radiograph of the elbow with an unusual appearance.
ELBOW,1,An x-ray image of the elbow showing not normal features.
ELBOW,1,An abnormal radiograph of the elbow joint region.
ELBOW,1,A radiograph displaying an abnormality in the elbow area.
ELBOW,1,An x-ray of the elbow with an abnormal finding.
ELBOW,1,An abnormal x-ray image of the elbow joint.
ELBOW,1,A radiograph of the elbow showing an abnormality.
ELBOW,1,An abnormal image of the elbow radiograph.
ELBOW,1,An x-ray of the elbow with an abnormal shape.
ELBOW,1,An abnormal radiograph of the elbow area.
ELBOW,1,A radiograph of the elbow with an irregular appearance.
FINGER,0,A normal radiograph of the finger.
FINGER,0,An x-ray image of a healthy finger.
FINGER,0,A healthy finger is visualized on this radiograph.
FINGER,0,The finger appears normal on this radiographic image.
FINGER,0,A normal finger is shown on this x-ray.
FINGER,0,Radiographic examination of a normal finger.
FINGER,0,Normal finger anatomy is observed on this image.
FINGER,0,X-ray image of a finger with no abnormal findings.
FINGER,0,The finger is healthy with no signs of abnormality.
FINGER,0,A normal finger is displayed on this radiograph.
FINGER,0,A healthy finger is observed on this x-ray image.
FINGER,0,Radiograph of a normal finger with no issues.
FINGER,0,The finger is normal with no evidence of abnormality.
FINGER,0,A normal finger is visualized on this x-ray.
FINGER,0,X-ray image of a finger with normal anatomy.
FINGER,0,A healthy finger is shown on this radiographic image.
FINGER,0,Normal finger anatomy is demonstrated on this image.
FINGER,0,A normal finger is seen on this x-ray.
FINGER,0,Radiographic examination of a healthy finger.
FINGER,0,A healthy radiograph of a finger.
FINGER,0,A radiograph of a finger showing no signs of an abnormality.
FINGER,0,A healthy finger as seen on a digital image.
FINGER,0,A normal finger radiograph with no abnormalities present.
FINGER,0,A finger x-ray displaying a normal anatomy.
FINGER,0,A radiographic image of a finger with no notable abnormalities.
FINGER,0,A normal finger as seen on an x-ray.
FINGER,0,A finger with a normal appearance on a medical image.
FINGER,0,An x-ray of a finger with no signs of an abnormality.
FINGER,0,A healthy finger as depicted on a medical radiograph.
FINGER,0,A normal finger as seen on a medical image.
FINGER,0,A finger radiograph showing a normal anatomy.
FINGER,0,A normal finger as seen on a radiographic image.
FINGER,0,A finger with a normal appearance on a radiograph.
FINGER,0,A normal finger x-ray with no notable abnormalities.
FINGER,0,A healthy finger as seen on a radiographic image.
FINGER,0,A normal finger as depicted on a medical image.
FINGER,0,A finger with no signs of an abnormality as seen on a radiograph.
FINGER,0,A finger radiograph with no abnormalities present.
FINGER,0,A finger with a normal appearance on a digital image.
FINGER,0,A normal finger as seen on an x-ray image.
FINGER,1,An x-ray image of a finger showing an abnormality.
FINGER,1,A radiograph of a finger with an irregular appearance.
FINGER,1,A digital image of a finger with a visible abnormality.
FINGER,1,An image of a finger with an unusual finding.
FINGER,1,A picture of a finger with a pathological change.
FINGER,1,An x-ray of a finger displaying an anomaly.
FINGER,1,A radiograph of a finger with an abnormal shape.
FINGER,1,An image of a finger with an irregular structure.
FINGER,1,A digital x-ray of a finger showing an abnormality.
FINGER,1,A picture of a finger with an unusual appearance.
FINGER,1,A radiograph of a finger with an abnormal contour.
FINGER,1,An image of a finger with an irregular size.
FINGER,1,A picture of a finger with an abnormal morphology.
FINGER,1,A radiograph of a finger with an unusual pattern.
FINGER,1,An x-ray of a finger displaying an irregularity.
FINGER,1,A digital image of a finger with an abnormality.
FINGER,1,An image of a finger with a not normal shape.
FINGER,1,A radiograph of a finger with a pathological change.
FINGER,1,A picture of a finger with an abnormality.
FINGER,1,A radiograph of a finger displaying signs of an abnormality.
FINGER,1,A radiograph of a finger showing signs of an abnormality.
FINGER,1,A finger x-ray with notable abnormal findings.
FINGER,1,X-ray image of a finger displaying an abnormal condition.
FINGER,1,Radiographic image of a finger with an abnormal appearance.
FINGER,1,Finger radiograph highlighting an abnormality.
FINGER,1,Abnormality present in a finger radiograph.
FINGER,1,X-ray of a finger with abnormal features.
FINGER,1,A finger x-ray with an abnormality evident.
FINGER,1,Radiographic image of a finger showing an abnormality.
FINGER,1,Abnormal findings in a finger x-ray image.
FINGER,1,Finger x-ray with notable abnormalities.
FINGER,1,A radiograph of a finger with an abnormal condition.
FINGER,1,X-ray image of a finger displaying an abnormality.
FINGER,1,Abnormality visible in a finger radiograph.
FINGER,1,Finger x-ray showing abnormal characteristics.
FINGER,1,A finger radiograph with an abnormal appearance.
FINGER,1,Radiographic image of a finger with an abnormality.
FINGER,1,Finger x-ray highlighting an abnormality.
FINGER,1,Abnormal findings in a finger x-ray.
FINGER,1,A finger x-ray with abnormal features present.
FOOT,0,A radiograph of a healthy foot.
FOOT,0,A normal foot radiograph.
FOOT,0,An x-ray image of a normal foot.
FOOT,0,A healthy foot with no abnormalities on x-ray.
FOOT,0,A foot x-ray showing no signs of an abnormality.
FOOT,0,An x-ray image of a foot with normal anatomy.
FOOT,0,A radiograph of a foot with no notable abnormalities.
FOOT,0,An x-ray of a normal foot structure.
FOOT,0,A foot radiograph with no signs of an abnormality.
FOOT,0,A normal foot radiograph with no issues.
FOOT,0,An x-ray image of a foot with normal anatomy and no abnormalities.
FOOT,0,A healthy foot radiograph with no issues.
FOOT,0,A foot x-ray showing normal anatomy and no abnormalities.
FOOT,0,An x-ray image of a normal foot with no issues.
FOOT,0,A radiograph of a healthy foot with no abnormalities.
FOOT,0,An x-ray of a foot with normal anatomy and no notable issues.
FOOT,0,A normal foot x-ray with no signs of an abnormality.
FOOT,0,A healthy foot radiograph showing normal anatomy.
FOOT,0,A foot radiograph with normal anatomy and no abnormalities.
FOOT,0,An x-ray image of a normal foot with no notable issues.
FOOT,0,A normal radiograph of the foot.
FOOT,0,An x-ray image of a healthy foot.
FOOT,0,A foot radiograph showing no signs of an abnormality.
FOOT,0,A normal x-ray image of the foot.
FOOT,0,A healthy foot on x-ray.
FOOT,0,A foot x-ray image with no notable issues.
FOOT,0,A normal foot radiograph with no abnormalities.
FOOT,0,An x-ray image of a foot with no signs of illness.
FOOT,0,A normal foot x-ray image with no issues.
FOOT,0,A foot x-ray showing a healthy bone structure.
FOOT,0,A normal x-ray image of the foot with no problems.
FOOT,0,A healthy foot with a normal x-ray image.
FOOT,0,A foot radiograph with no signs of disease.
FOOT,0,A normal foot x-ray with no issues.
FOOT,0,A healthy foot on a normal x-ray image.
FOOT,0,A foot x-ray with no abnormalities.
FOOT,0,A normal foot radiograph with a healthy bone structure.
FOOT,0,An x-ray image of a healthy foot with no issues.
FOOT,0,A normal foot x-ray with a normal bone structure.
FOOT,0,A healthy foot on a normal x-ray.
FOOT,1,An x-ray image of a foot showing signs of an abnormality.
FOOT,1,Radiograph of a foot with an abnormality present.
FOOT,1,A foot radiograph displaying an abnormality.
FOOT,1,Imaging of a foot with an abnormal condition.
FOOT,1,Foot x-ray with an abnormal appearance.
FOOT,1,An abnormality is visible in this foot radiograph.
FOOT,1,Radiographic evidence of an abnormality in the foot.
FOOT,1,An abnormal foot radiograph is shown here.
FOOT,1,This foot x-ray reveals an abnormality.
FOOT,1,An abnormal foot is depicted in this radiograph.
FOOT,1,Foot imaging showing an abnormality.
FOOT,1,An abnormal condition is evident in this foot x-ray.
FOOT,1,A foot radiograph with an abnormality is presented.
FOOT,1,This foot imaging reveals an abnormal appearance.
FOOT,1,An abnormal foot is shown in this radiograph.
FOOT,1,Radiograph of a foot with an abnormal condition.
FOOT,1,An abnormality is evident in this foot imaging.
FOOT,1,Foot x-ray displaying an abnormality.
FOOT,1,An abnormal foot radiograph is shown.
FOOT,1,This foot x-ray shows an abnormality.
FOOT,1,A radiograph of the foot showing an abnormality.
FOOT,1,An x-ray image of the foot with an abnormal finding.
FOOT,1,A foot radiograph exhibiting an abnormal condition.
FOOT,1,An abnormal foot radiograph.
FOOT,1,Radiographic image of the foot with an abnormality.
FOOT,1,X-ray image of the foot indicating an abnormality.
FOOT,1,The foot appears abnormal on this x-ray.
FOOT,1,A radiograph of the foot showing an unusual finding.
FOOT,1,X-ray image of the foot with an abnormal appearance.
FOOT,1,Radiographic image of the foot showing signs of an abnormality.
FOOT,1,Abnormal foot radiograph.
FOOT,1,X-ray image of the foot revealing an abnormality.
FOOT,1,Radiograph of the foot with an abnormal presentation.
FOOT,1,An abnormality is visible on this foot radiograph.
FOOT,1,The foot has an abnormal appearance on this x-ray.
FOOT,1,Radiographic image of the foot with an abnormality present.
FOOT,1,X-ray image of the foot showing an abnormality.
FOOT,1,An abnormal foot radiograph is visible.
FOOT,1,Radiograph of the foot exhibiting an abnormal condition.
FOOT,1,A radiograph of a foot revealing an abnormal finding.
FOREARM,0,A radiograph of a forearm showing no signs of abnormality.
FOREARM,0,An x-ray image of a forearm with no visible abnormalities.
FOREARM,0,A healthy forearm as seen on a medical image.
FOREARM,0,A normal forearm radiograph.
FOREARM,0,No signs of abnormality in this forearm x-ray.
FOREARM,0,An x-ray image of a normal forearm.
FOREARM,0,A healthy forearm with no signs of an abnormality.
FOREARM,0,A forearm radiograph with no abnormal findings.
FOREARM,0,A normal forearm as seen on a radiograph.
FOREARM,0,An x-ray image of a forearm with a normal appearance.
FOREARM,0,A forearm with no signs of abnormality on x-ray.
FOREARM,0,A healthy forearm radiograph.
FOREARM,0,A normal forearm x-ray image.
FOREARM,0,No abnormal findings in this forearm radiograph.
FOREARM,0,A normal forearm as seen on a medical radiograph.
FOREARM,0,An x-ray image of a forearm with a normal status.
FOREARM,0,A healthy forearm with no abnormalities.
FOREARM,0,A normal forearm radiograph image.
FOREARM,0,A forearm with a normal appearance on x-ray.
FOREARM,0,A healthy forearm with no signs of abnormality.
FOREARM,0,A normal radiograph of the forearm.
FOREARM,0,A healthy forearm with no visible abnormality on x-ray.
FOREARM,0,A normal forearm imaged with no signs of an abnormality.
FOREARM,0,Radiographic image of a forearm with no irregularities.
FOREARM,0,Forearm x-ray showing a normal anatomy.
FOREARM,0,Normal forearm radiograph with no notable abnormalities.
FOREARM,0,Forearm imaging with no signs of an abnormality.
FOREARM,0,A healthy forearm with no radiographic abnormalities.
FOREARM,0,Normal forearm x-ray image with no issues.
FOREARM,0,Forearm radiograph displaying a normal anatomy.
FOREARM,0,Normal forearm imaging with no abnormalities.
FOREARM,0,A normal x-ray image of the forearm.
FOREARM,0,Radiographic image of a normal forearm.
FOREARM,0,Normal forearm with no visible abnormalities on x-ray.
FOREARM,0,Forearm x-ray image with a normal appearance.
FOREARM,0,Normal forearm radiograph with no issues.
FOREARM,0,A normal forearm with no imaging abnormalities.
FOREARM,0,Forearm imaging with a normal radiographic appearance.
FOREARM,0,Normal forearm x-ray with no notable abnormalities.
FOREARM,0,Forearm radiograph showing a normal anatomy.
FOREARM,1,A radiograph of a forearm showing signs of an abnormality.
FOREARM,1,An x-ray image of a forearm with an unusual appearance.
FOREARM,1,Forearm radiograph revealing an abnormal condition.
FOREARM,1,Imaging of the forearm indicating an abnormality.
FOREARM,1,Forearm x-ray showing an irregularity.
FOREARM,1,An abnormal radiograph of the forearm.
FOREARM,1,Forearm examination via x-ray reveals an abnormality.
FOREARM,1,Radiographic image of the forearm with an abnormal finding.
FOREARM,1,Forearm x-ray displaying an abnormal condition.
FOREARM,1,Imaging study of the forearm showing an abnormality.
FOREARM,1,Abnormal forearm radiograph.
FOREARM,1,Forearm x-ray with an unusual appearance.
FOREARM,1,Radiograph of the forearm showing signs of an irregularity.
FOREARM,1,Forearm imaging study revealing an abnormality.
FOREARM,1,Abnormal forearm x-ray.
FOREARM,1,Forearm x-ray showing an abnormality.
FOREARM,1,Forearm radiograph indicating an abnormal condition.
FOREARM,1,Imaging of the forearm with an abnormal appearance.
FOREARM,1,Abnormal radiographic findings in the forearm.
FOREARM,1,Forearm x-ray displaying an abnormality.
FOREARM,1,A radiograph of the forearm displaying an abnormality.
FOREARM,1,The forearm shows evidence of an abnormal condition on this x-ray.
FOREARM,1,This forearm x-ray reveals an abnormality.
FOREARM,1,A forearm radiograph with visible signs of an abnormal condition.
FOREARM,1,X-ray of the forearm indicating an abnormality.
FOREARM,1,An abnormality is visible on this forearm radiograph.
FOREARM,1,Radiographic evidence of an abnormal condition in the forearm.
FOREARM,1,This forearm has an abnormality as seen on the x-ray.
FOREARM,1,Forearm x-ray with an abnormal appearance.
FOREARM,1,The forearm shows an abnormality on this x-ray image.
FOREARM,1,Abnormal signs are present on this forearm radiograph.
FOREARM,1,A forearm radiograph showing an abnormality.
FOREARM,1,Forearm x-ray with an abnormal condition.
FOREARM,1,An abnormality is visible on this forearm x-ray.
FOREARM,1,This radiograph of the forearm displays an abnormal condition.
FOREARM,1,The forearm shows an abnormal appearance on this x-ray.
FOREARM,1,Abnormality detected on this forearm radiograph.
FOREARM,1,Forearm radiograph with an abnormality.
FOREARM,1,This x-ray of the forearm reveals an abnormal condition.
FOREARM,1,A radiograph of a forearm displaying evidence of an abnormality.
HAND,0,A radiograph of a hand showing no signs of abnormality.
HAND,0,An x-ray image of a hand with a healthy appearance.
HAND,0,A normal radiograph of a hand.
HAND,0,A hand radiograph displaying no abnormal features.
HAND,0,A healthy hand radiograph with no indication of abnormality.
HAND,0,A normal x-ray image of a hand.
HAND,0,A hand x-ray with no signs of an abnormality.
HAND,0,A radiograph of a hand showing normal anatomy.
HAND,0,A hand radiograph with no evidence of an abnormality.
HAND,0,A normal hand radiograph.
HAND,0,An x-ray image of a hand displaying normal features.
HAND,0,A hand x-ray with a normal appearance.
HAND,0,A radiograph of a hand showing no indication of abnormality.
HAND,0,A healthy hand x-ray image.
HAND,0,A hand radiograph with a normal healthy appearance.
HAND,0,A normal hand x-ray with no signs of abnormality.
HAND,0,A hand radiograph showing normal anatomy.
HAND,0,A hand x-ray image with no abnormal features.
HAND,0,A radiograph of a hand with no abnormal features.
HAND,0,A radiograph of a healthy hand.
HAND,0,A radiograph of a hand showing no signs of an abnormality.
HAND,0,An x-ray image of a hand with normal anatomy.
HAND,0,A normal radiograph showing a hand.
HAND,0,A hand radiograph with no notable abnormalities.
HAND,0,An x-ray image of a hand displaying healthy bone structure.
HAND,0,A normal x-ray of a hand.
HAND,0,A hand x-ray showing no signs of an abnormality.
HAND,0,A radiograph of a hand with normal bone alignment.
HAND,0,A normal hand radiograph with no signs of abnormality.
HAND,0,A healthy hand radiograph.
HAND,0,An x-ray image of a hand with no abnormalities.
HAND,0,A normal hand x-ray.
HAND,0,A radiograph of a hand displaying normal bone density.
HAND,0,An x-ray image of a hand with normal anatomy without abnormal signs.
HAND,0,A normal radiograph of a hand with no issues.
HAND,0,A healthy hand x-ray.
HAND,0,A hand radiograph with normal bone structure.
HAND,0,A normal x-ray of a hand with no problems.
HAND,0,An x-ray image of a hand showing no signs of an issue.
HAND,0,A normal radiograph of the hand.
HAND,1,A radiograph of the hand showing an abnormality.
HAND,1,An x-ray image of the hand with an abnormality.
HAND,1,A hand radiograph exhibiting an abnormality.
HAND,1,Radiographic evidence of an abnormality in the hand.
HAND,1,An abnormal hand radiograph.
HAND,1,X-ray findings of an abnormality in the hand.
HAND,1,The hand shows an abnormality on this radiograph.
HAND,1,An abnormality is present in this hand x-ray.
HAND,1,Radiographic signs of an abnormality in the hand.
HAND,1,X-ray image of an abnormal hand.
HAND,1,An abnormal hand x-ray.
HAND,1,The hand displays an abnormality on this x-ray.
HAND,1,Radiographic abnormality in the hand.
HAND,1,X-ray evidence of an abnormality in the hand.
HAND,1,An abnormal hand radiograph is seen here.
HAND,1,Abnormal hand radiographic findings.
HAND,1,The hand x-ray reveals an abnormality.
HAND,1,Radiographic abnormality of the hand.
HAND,1,An abnormality in the hand is visible on this x-ray.
HAND,1,A radiograph of the hand revealing signs of an abnormality.
HAND,1,A radiograph of a hand showing signs of an abnormality.
HAND,1,A not normal hand radiograph.
HAND,1,A hand x-ray with an abnormal finding.
HAND,1,An abnormal hand radiograph image.
HAND,1,A radiograph of an abnormal hand.
HAND,1,A not normal hand anatomy.
HAND,1,A hand x-ray with an abnormality.
HAND,1,An abnormal hand radiograph reveiling abnormalities.
HAND,1,A hand showing an abnormal radiographic finding.
HAND,1,An abnormal hand radiograph showing abnormalities.
HAND,1,A radiograph of a hand with an abnormality.
HAND,1,A hand x-ray image showing an abnormality.
HAND,1,An abnormal hand anatomy image.
HAND,1,A hand radiograph with an abnormal finding.
HAND,1,A radiograph of an abnormal hand anatomy.
HAND,1,A not normal hand x-ray image.
HAND,1,An abnormal hand radiograph image reveiling abnormalities.
HAND,1,A hand showing abnormal radiographic findings.
HAND,1,A radiograph of a hand with signs of an abnormality.
HAND,1,An abnormal hand radiograph image showing abnormalities.
HIP,0,A radiograph of a hip with no signs of abnormality.
HIP,0,An x-ray image of a hip showing a normal appearance.
HIP,0,A hip radiograph with no irregularities.
HIP,0,A normal hip radiograph.
HIP,0,An x-ray image of a hip with no abnormalities.
HIP,0,A radiograph of a hip demonstrating a healthy structure.
HIP,0,An x-ray of a hip with no signs of pathology.
HIP,0,A normal hip x-ray image.
HIP,0,A radiograph of a hip with no pathological findings.
HIP,0,A hip radiograph showing a normal anatomical structure.
HIP,0,A normal hip x-ray.
HIP,0,A radiograph of a hip with no signs of disease.
HIP,0,A hip x-ray with no abnormalities.
HIP,0,A normal hip radiograph with no signs of abnormality.
HIP,0,A radiograph of a hip with a normal appearance.
HIP,0,A normal hip x-ray image with no irregularities.
HIP,0,An x-ray image of a hip with no signs of illness.
HIP,0,A radiograph of a hip demonstrating a normal anatomy.
HIP,0,A normal hip radiograph with no signs of disease.
HIP,0,A hip x-ray image with no signs of abnormality.
HIP,0,A normal radiograph of the hip joint.
HIP,0,An x-ray image of a healthy hip.
HIP,0,Radiographic evidence of a normal hip anatomy.
HIP,0,A hip radiograph with no signs of abnormality.
HIP,0,An x-ray of a normal hip joint.
HIP,0,A healthy hip joint as seen on x-ray.
HIP,0,No abnormal findings on this hip radiograph.
HIP,0,A normal hip as depicted on x-ray.
HIP,0,Radiographic imaging of a healthy hip.
HIP,0,A hip x-ray showing no abnormalities.
HIP,0,A normal hip anatomy as seen on radiograph.
HIP,0,An x-ray of a normal hip.
HIP,0,Radiographic evidence of a healthy hip joint.
HIP,0,A normal hip radiograph with no issues.
HIP,0,A healthy hip as seen on radiographic imaging.
HIP,0,An x-ray of a normal hip joint with no problems.
HIP,0,Radiographic findings of a normal hip.
HIP,0,A normal hip joint as seen on radiographic images.
HIP,0,A hip radiograph with normal anatomy.
HIP,0,A normal radiograph of the hip joint reveiling no abnormalities.
HIP,1,A radiograph of the hip showing signs of an abnormality.
HIP,1,An x-ray image of a hip with an abnormal finding.
HIP,1,The hip area on this radiograph is not normal.
HIP,1,A hip radiograph displaying an abnormality.
HIP,1,X-ray image of a hip with abnormal features.
HIP,1,The hip joint on this image shows an abnormality.
HIP,1,A radiograph of the hip showing an abnormal condition.
HIP,1,This hip x-ray reveals an abnormality.
HIP,1,The hip area in this radiograph has an abnormal appearance.
HIP,1,A hip radiograph indicating an abnormality.
HIP,1,An x-ray of the hip with an abnormal finding.
HIP,1,The hip on this radiograph is not healthy.
HIP,1,A radiograph of a hip with an abnormal feature.
HIP,1,This hip radiograph shows an abnormality.
HIP,1,A hip x-ray image with an abnormal condition.
HIP,1,The hip joint in this radiograph is not normal.
HIP,1,A radiograph of the hip displaying an abnormality.
HIP,1,An x-ray image of a hip with abnormal characteristics.
HIP,1,The hip area on this radiograph is abnormal.
HIP,1,A radiograph of the hip showcasing signs of an abnormality.
HIP,1,A radiograph of the hip reveiling signs of an abnormality.
HIP,1,X-ray image of the hip joint with an abnormal appearance.
HIP,1,An abnormal radiograph of the hip.
HIP,1,Imaging of the hip reveals an abnormality.
HIP,1,Hip x-ray with notable abnormality.
HIP,1,Radiological evidence of an abnormality in the hip.
HIP,1,The hip shows an abnormality on this x-ray.
HIP,1,An abnormal hip radiograph.
